Id,Label,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
The King Of Fighters Xiii,The King Of Fighters Xiii,2,0,2,0,0,0,0,6,27,1,0.020155
Imaginefx,Imaginefx,2,0,2,0,0,0,1,4,12,0,0.029016
Wakanim,Wakanim,3,0,3,0,0,0,2,5,14,1,0.083323
Fantasy Zone,Fantasy Zone,3,0,3,0,0,0,3,6,18,0.333333,0.033403
Homeschooling During The Covid-19 Pandemic,Homeschooling During The Covid-19 Pandemic,2,0,2,0,0,0,4,3,23,1,0.02008
Ultima I: The First Age Of Darkness,Ultima I: The First Age Of Darkness,2,0,2,0,0,0,5,4,16,0,0.017972
Dc Comics,Dc Comics,2,0,2,0,0,0,6,6,26,0.5,0.015979
Sonic The Hedgehog (Film),Sonic The Hedgehog (Film),2,0,2,0,0,0,7,6,25,1,0.053365
The Independent,The Independent,8,0,8,0,0,0,8,2,5,0.053571,0.082419
Microcomputer,Microcomputer,25,0,25,0,0,0,9,7,37,0.181667,0.277508
World E-Sports Games,World E-Sports Games,3,0,3,0,0,0,10,5,27,1,0.014194
Life (Video Games),Life (Video Games),7,0,7,0,0,0,11,6,16,0.261905,0.088754
Microsoft,Microsoft,30,0,30,0,0,0,12,4,32,0.083908,0.403131
Societal Views On Patents,Societal Views On Patents,4,0,4,0,0,0,13,1,31,0.666667,0.057086
Half-Life (Video Game),Half-Life (Video Game),4,0,4,0,0,0,14,4,16,0.25,0.026512
Rally-X,Rally-X,2,0,2,0,0,0,15,1,18,0,0.015362
Cheating In Video Games,Cheating In Video Games,3,0,3,0,0,0,16,6,26,0,0.033156
Mrna-1283,Mrna-1283,2,0,2,0,0,0,17,3,23,1,0.02008
Nintendo Marketing,Nintendo Marketing,2,0,2,0,0,0,18,5,27,0.5,0.011805
Covid-19 Pandemic In Ukraine,Covid-19 Pandemic In Ukraine,2,0,2,0,0,0,19,3,23,1,0.02008
Digital Repository Audit Method Based On Risk Assessment,Digital Repository Audit Method Based On Risk Assessment,2,0,2,0,0,0,20,8,8,1,0.009398
Baen Books,Baen Books,2,0,2,0,0,0,21,1,14,0.5,0.018186
Covid-19 Pandemic In Cuba,Covid-19 Pandemic In Cuba,2,0,2,0,0,0,22,3,23,1,0.02008
Alex Valle,Alex Valle,2,0,2,0,0,0,23,5,27,1,0.010193
Traditional Sports And Games,Traditional Sports And Games,2,0,2,0,0,0,24,6,25,1,0.053365
Covid-19 Pandemic In The Regional Municipality Of Peel,Covid-19 Pandemic In The Regional Municipality Of Peel,2,0,2,0,0,0,25,3,23,1,0.02008
Optical Disc,Optical Disc,10,0,10,0,0,0,26,7,38,0.177778,0.129146
2021–2023 Global Energy Crisis,2021–2023 Global Energy Crisis,2,0,2,0,0,0,27,3,23,1,0.02008
Television Set,Television Set,3,0,3,0,0,0,28,6,18,0.5,0.055996
Online Copyright Infringement Liability Limitation Act,Online Copyright Infringement Liability Limitation Act,2,0,2,0,0,0,29,1,10,1,0.021521
Mashup (Video),Mashup (Video),4,0,4,0,0,0,30,1,31,0.666667,0.057086
Covid-19 Pandemic In Zambia,Covid-19 Pandemic In Zambia,2,0,2,0,0,0,31,3,23,1,0.02008
Sony Digital Audio Disc Corporation,Sony Digital Audio Disc Corporation,3,0,3,0,0,0,32,5,14,1,0.083323
Impact Of The Covid-19 Pandemic On Education,Impact Of The Covid-19 Pandemic On Education,2,0,2,0,0,0,33,3,23,1,0.02008
Six Invitational,Six Invitational,3,0,3,0,0,0,34,5,27,1,0.014194
Cel Shading,Cel Shading,2,0,2,0,0,0,35,6,18,1,0.005982
Journal Of Interactive Marketing,Journal Of Interactive Marketing,2,0,2,0,0,0,36,6,25,1,0.053365
The Week,The Week,2,0,2,0,0,0,37,4,12,0,0.029016
Flathub,Flathub,2,0,2,0,0,0,38,5,14,0,0.022457
Ubisoft,Ubisoft,3,0,3,0,0,0,39,1,31,0.166667,0.036978
Soviet Union,Soviet Union,12,0,12,0,0,0,40,7,2,0.128788,0.168761
Brilife,Brilife,2,0,2,0,0,0,41,3,23,1,0.02008
Covid-19 Pandemic In Iowa,Covid-19 Pandemic In Iowa,2,0,2,0,0,0,42,3,23,1,0.02008
2010S In Video Games,2010S In Video Games,5,0,5,0,0,0,43,6,22,0.7,0.094753
Total 911,Total 911,2,0,2,0,0,0,44,4,12,0,0.029016
Second Generation Of Video Game Consoles,Second Generation Of Video Game Consoles,13,0,13,0,0,0,45,4,16,0.525641,0.299303
Video Memory,Video Memory,2,0,2,0,0,0,46,7,14,0,0.039717
Marvel Entertainment,Marvel Entertainment,2,0,2,0,0,0,47,2,10,0.5,0.015153
Steve Jobs,Steve Jobs,10,0,10,0,0,0,48,7,40,0.288889,0.111976
Nigerian Government Response To The Covid-19 Pandemic,Nigerian Government Response To The Covid-19 Pandemic,2,0,2,0,0,0,49,3,23,1,0.02008
Gunpei Yokoi,Gunpei Yokoi,4,0,4,0,0,0,50,5,27,0.25,0.044268
Censorship By Copyright,Censorship By Copyright,5,0,5,0,0,0,51,1,31,0.65,0.074989
Championship Gaming Series,Championship Gaming Series,4,0,4,0,0,0,52,6,27,0.833333,0.028622
Medicine Publishing,Medicine Publishing,2,0,2,0,0,0,53,4,12,1,0.046085
Dustforce,Dustforce,2,0,2,0,0,0,54,6,25,1,0.053365
Flight Simulator,Flight Simulator,2,0,2,0,0,0,55,6,25,1,0.053365
Sony Financial Group,Sony Financial Group,3,0,3,0,0,0,56,5,14,1,0.083323
